,epsilon,p,length,size
4158,1.6,0.01,1.13,0.005850000000000001
4157,1.6,0.015,1.17,0.005900000000000001
4156,1.6,0.02,1.23,0.0064
4155,1.6,0.025,1.69,0.016149999999999998
4154,1.6,0.03,2.59,0.03774999999999999
4153,1.6,0.035,3.12,0.06424999999999999
4152,1.6,0.04,3.36,0.07559999999999997
4151,1.6,0.045,3.2,0.07479999999999999
4150,1.6,0.05,3.7,0.10435
4149,1.6,0.055,4.25,0.1428
4148,1.6,0.06,5.07,0.17224999999999993
4147,1.6,0.065,5.35,0.20169999999999993
4146,1.6,0.07,6.32,0.27209999999999995
4145,1.6,0.075,6.63,0.30105
4144,1.6,0.08,6.6,0.3102499999999999
4143,1.6,0.085,7.66,0.38800000000000007
4142,1.6,0.09,7.37,0.3983
4141,1.6,0.095,8.71,0.4974
4140,1.6,0.1,7.36,0.4202499999999999
4139,1.6,0.125,8.32,0.57875
4138,1.6,0.15,7.72,0.6289000000000001
4137,1.6,0.175,7.13,0.66865
4136,1.6,0.2,7.04,0.7490000000000001
4135,1.6,0.225,7.62,0.8384999999999999
4134,1.6,0.25,6.93,0.85855
4133,1.6,0.275,6.69,0.8789
4132,1.6,0.3,6.61,0.91845
4131,1.6,0.325,6.09,0.9281000000000001
4130,1.6,0.35,6.14,0.94875
4129,1.6,0.375,5.6,0.95875
4128,1.6,0.4,5.49,0.95865
4127,1.6,0.425,5.34,0.9594499999999998
4126,1.6,0.45,5.1,0.96875
4125,1.6,0.475,4.91,0.97915
4124,1.6,0.5,4.86,0.9990000000000001
4123,1.6,0.525,4.63,0.9794499999999999
4122,1.6,0.55,4.48,0.9797999999999999
4121,1.6,0.575,4.34,0.9895500000000002
4120,1.6,0.6,4.14,0.9894499999999999
4119,1.6,0.625,4.23,0.9992000000000002
4118,1.6,0.65,4.12,0.9992500000000001
4117,1.6,0.675,4.0,0.99905
4116,1.6,0.7,3.74,0.98965
4115,1.6,0.725,3.84,0.9994999999999998
4114,1.6,0.75,3.76,0.9992500000000001
4113,1.6,0.775,3.59,0.97985
4112,1.6,0.8,3.62,0.9997
4111,1.6,0.825,3.38,0.99965
4110,1.6,0.85,3.46,0.99965
4109,1.6,0.875,3.39,0.9995
4108,1.6,0.9,3.28,0.9996
4107,1.6,0.925,3.19,0.9997
4106,1.6,0.95,3.11,0.9997499999999999
4105,1.6,0.975,3.13,0.9997499999999999
4104,1.6,1.0,3.13,0.99965
4103,1.8,0.0,1.0,0.004999999999999999
4102,1.8,0.005,1.08,0.00545
4101,1.8,0.01,1.04,0.005199999999999999
4100,1.8,0.015,1.24,0.00635
4099,1.8,0.02,1.67,0.015399999999999995
4098,1.8,0.025,1.25,0.00645
4097,1.8,0.03,2.38,0.035699999999999996
4096,1.8,0.035,3.69,0.0832
4095,1.8,0.04,3.56,0.08384999999999998
4094,1.8,0.045,3.11,0.07524999999999997
4093,1.8,0.05,3.21,0.08385000000000002
4092,1.8,0.055,5.53,0.1911499999999999
4091,1.8,0.06,5.85,0.2200499999999999
4090,1.8,0.065,5.17,0.2011999999999999
