,p,q,length,size
366,0.175,0.7,6.9,0.008624
365,0.175,0.8,4.7,0.005600000000000001
364,0.175,0.9,7.1,0.009264000000000001
363,0.175,1.0,5.32,0.006919999999999999
362,0.2,0.0,6.26,0.009472000000000001
361,0.2,0.1,9.46,0.014456
360,0.2,0.2,7.76,0.010848
359,0.2,0.3,7.26,0.010111999999999996
358,0.2,0.4,8.94,0.013399999999999999
357,0.2,0.5,8.88,0.012063999999999998
356,0.2,0.6,7.32,0.011199999999999996
355,0.2,0.7,7.44,0.010695999999999999
354,0.2,0.8,7.38,0.011807999999999999
353,0.2,0.9,10.9,0.017623999999999997
352,0.2,1.0,6.24,0.008999999999999998
351,0.225,0.0,7.84,0.013616
350,0.225,0.1,10.0,0.017384
349,0.225,0.2,8.92,0.014840000000000002
348,0.225,0.3,8.64,0.014239999999999997
347,0.225,0.4,7.54,0.011607999999999999
346,0.225,0.5,8.98,0.013479999999999999
345,0.225,0.6,9.32,0.016071999999999996
344,0.225,0.7,7.1,0.010768
343,0.225,0.8,7.54,0.010856
342,0.225,0.9,8.4,0.013367999999999998
341,0.225,1.0,11.3,0.018776
340,0.25,0.0,9.88,0.01828
339,0.25,0.1,8.62,0.015776
338,0.25,0.2,11.34,0.019504
337,0.25,0.3,9.72,0.017632000000000002
336,0.25,0.4,9.8,0.017623999999999997
335,0.25,0.5,9.86,0.018456
334,0.25,0.6,12.16,0.020952000000000002
333,0.25,0.7,8.9,0.016503999999999998
332,0.25,0.8,9.68,0.017272
331,0.25,0.9,9.2,0.017143999999999996
330,0.25,1.0,10.46,0.018351999999999997
329,0.275,0.0,12.38,0.024112
328,0.275,0.1,10.28,0.021096
327,0.275,0.2,12.98,0.025255999999999997
326,0.275,0.3,8.32,0.016215999999999998
325,0.275,0.4,9.56,0.019871999999999997
324,0.275,0.5,10.6,0.020968
323,0.275,0.6,11.54,0.024399999999999998
322,0.275,0.7,10.14,0.0186
321,0.275,0.8,9.86,0.019719999999999998
320,0.275,0.9,9.36,0.020128
319,0.275,1.0,10.96,0.021703999999999998
318,0.3,0.0,11.04,0.022064
317,0.3,0.1,11.26,0.023544
316,0.3,0.2,10.3,0.02028
315,0.3,0.3,9.86,0.02012
314,0.3,0.4,10.38,0.022696000000000004
313,0.3,0.5,9.92,0.021928
312,0.3,0.6,10.86,0.023192
311,0.3,0.7,13.08,0.029256
310,0.3,0.8,11.54,0.024096000000000003
309,0.3,0.9,11.44,0.023327999999999998
308,0.3,1.0,11.68,0.023368000000000003
307,0.325,0.0,10.64,0.024776000000000003
306,0.325,0.1,12.52,0.02756
305,0.325,0.2,12.5,0.031200000000000002
304,0.325,0.3,12.08,0.028856000000000003
303,0.325,0.4,10.84,0.024448000000000004
302,0.325,0.5,13.74,0.031648
301,0.325,0.6,11.12,0.024703999999999997
300,0.325,0.7,11.58,0.026344000000000003
299,0.325,0.8,12.82,0.030352
298,0.325,0.9,10.26,0.023424
297,0.325,1.0,13.0,0.028664000000000005
296,0.35,0.0,13.56,0.031896
295,0.35,0.1,11.36,0.030144
294,0.35,0.2,13.28,0.031703999999999996
293,0.35,0.3,11.9,0.031048
292,0.35,0.4,11.22,0.027152
291,0.35,0.5,12.06,0.030216
290,0.35,0.6,12.24,0.029592
289,0.35,0.7,10.98,0.0264
288,0.35,0.8,11.0,0.027312
287,0.35,0.9,11.26,0.025608
286,0.35,1.0,10.18,0.025888000000000005
285,0.375,0.0,11.12,0.028792000000000005
284,0.375,0.1,11.46,0.030336000000000002
283,0.375,0.2,12.66,0.03272
282,0.375,0.3,11.24,0.027960000000000002
281,0.375,0.4,11.8,0.030248
280,0.375,0.5,8.68,0.021792
279,0.375,0.6,8.86,0.023327999999999998
278,0.375,0.7,12.26,0.032808000000000004
277,0.375,0.8,10.88,0.026327999999999997
276,0.375,0.9,13.1,0.031920000000000004
275,0.375,1.0,13.02,0.034168
274,0.4,0.0,12.64,0.034312
273,0.4,0.1,12.04,0.03348
272,0.4,0.2,11.78,0.03357600000000001
271,0.4,0.3,11.34,0.03196000000000001
270,0.4,0.4,11.14,0.033560000000000006
269,0.4,0.5,11.68,0.031224000000000002
268,0.4,0.6,12.92,0.035
267,0.4,0.7,11.58,0.029648000000000004
266,0.4,0.8,11.98,0.030112000000000007
265,0.4,0.9,13.14,0.03189600000000001
264,0.4,1.0,10.62,0.029568000000000004
263,0.425,0.0,12.2,0.032760000000000004
262,0.425,0.1,10.5,0.031224000000000002
